4995, 5, 0
4979, 21, 0
4909, 88, 3
4640, 340, 20
3838, 1074, 88
3392, 1318, 290
2928, 1516, 556
2422, 1739, 839
1976, 1853, 1171
1585, 1883, 1532
1267, 1850, 1883
1018, 1694, 2288
836, 1567, 2597
688, 1392, 2920
603, 1162, 3235
539, 993, 3468
475, 865, 3660
434, 733, 3833
409, 591, 4000
386, 493, 4121
364, 412, 4224
342, 357, 4301
327, 305, 4368
313, 241, 4446
304, 207, 4489
298, 185, 4517
292, 160, 4548
288, 127, 4585
285, 103, 4612
282, 80, 4638
278, 66, 4656
275, 55, 4670
273, 49, 4678
271, 40, 4689
271, 36, 4693
270, 27, 4703
270, 22, 4708
270, 15, 4715
270, 13, 4717
269, 11, 4720
267, 10, 4723
266, 8, 4726
266, 8, 4726
265, 7, 4728
265, 6, 4729
265, 6, 4729
264, 6, 4730
264, 4, 4732
264, 3, 4733
264, 3, 4733
264, 3, 4733
263, 3, 4734
263, 1, 4736
263, 1, 4736
263, 1, 4736
263, 1, 4736
263, 1, 4736
263, 1, 4736
263, 1, 4736
263, 1, 4736
